Protein Accession	Assembly	Species	Lineage	Assembly BioProject Lineage Title	Assembly BioSample Attribute Name	Assembly BioSample Attribute Value	Assembly BioSample Description Title	Assembly BioSample Sample Identifiers Database	Assembly BioSample Models	Assembly BioSample Owner Name	Assembly BioSample Package	Assembly BioSample Publication date	Assembly Level	Assembly Notes	Assembly Sequencing Tech	Assembly Stats GC Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Total Sequence Length	Current Accession	Organism Name	Organism Taxonomic ID	Assembly Stats Total Sequence Length MB	Signature.accession	Combined Signature description	Total Signature Description	color three
ORB29891.1	GCF_900417285.1	Mycolicibacterium parafortuitum	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycolicibacterium	Draft Genome Sequence of Mycobacterium parafortuitum	ENA-CHECKLIST	ERC000011	Draft Genome Sequence of Mycobacterium parafortuitum	SRA	Generic	EBI	Generic.1.0	2018-07-04 0:00:00	Scaffold	Not Available	Not Available	4230356	68.5	47.0x	6175772	GCF_900417285.1	Mycolicibacterium parafortuitum	39692	6.175772	cd05931	FAAL	1	#FFFFFF
WP_232079958.1	GCF_010725485.1	Mycolicibacterium parafortuitum	Bacteria;  Actinomycetota;  Corynebacteriales;  Mycobacteriaceae;  Mycolicibacterium																					cd05931	FAAL	1	#FFFFFF
WP_188112850.1	GCF_008370645.1	Mycobacterium simiae	Bacteria; Actinomycetota;  Actinomycetes;  Mycobacteriales;  Mycobacteriaceae;  Mycobacterium;  Mycobacterium simiae complex																					cd05931	FAAL	1	#FFFFFF
ORB70526.1	GCA_002086755.1	Mycobacterium shinjukuense	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium	Reference genomes of nontuberculos Mycobacterium species Genome sequencing and assembly	sample_type	missing	Microbe sample from Mycobacterium shinjukuense	Not Available	Microbe, viral or environmental	San Raffaele Scientific Institute	Microbe.1.0	2016-11-28 0:00:00	Contig	Not Available	Illumina	2987994	68	86.7x	4409896	GCA_002086755.1	Mycobacterium shinjukuense	398694	4.409896	cd05931	FAAL	1	#FFFFFF
ORW13366.1	GCA_025821645.1	Mycobacterium lacus	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium	Comparative genomics of mycobacteria	strain	DSM 44577	Microbe sample from Mycobacterium lacus	Not Available	Microbe, viral or environmental	Uppsala University	Microbe.1.0	2021-08-31 0:52:02	Scaffold	Not Available	Illumina	3274524	67	412.0x	4899677	GCA_025821645.1	Mycobacterium lacus	169765	4.899677	cd05931	FAAL	1	#FFFFFF
VDM88020.1	GCA_900292015.1	Mycobacterium basiliense	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium	Mycobacterium sp. nov. basiliense: whole genome sequencing	ENA first public	12/10/2018	Mycobacterium basiliensis - description of a new species	SRA	Generic	EBI	Generic.1.0	2018-12-10 0:00:00	Complete Genome	Not Available	Not Available	3646274	65	140.0x	5607630	GCA_900292015.1	Mycobacterium basiliense	2094119	5.60763	cd05931	FAAL	1	#FFFFFF
EUA90420.1	GCA_000524035.1	Mycobacterium ulcerans str. Harvey	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium ulcerans group	Whole genome sequencing of top priority nontuberculous mycobacteria used in preclinical compound testing at Colorado State University	strain	Harvey	Pathogen: clinical or host-associated sample from Mycobacterium ulcerans str. Harvey	Not Available	Pathogen,Pathogen.cl	NCBI	Pathogen.cl.1.0	2014-02-13 0:00:00	Contig	annotation fails completeness check,many frameshifted proteins	Pacbio	4072505	65	11.7x	6247430	GCA_000524035.1	Mycobacterium ulcerans str. Harvey	1299332	6.24743	cd05931	FAAL	1	#FFFFFF
WP_196810782.1	GCF_000419335.1	Mycobacterium marinum	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium ulcerans group	Mycobacterium marinum MB2 Genome sequencing and assembly	strain	MB2	Sample from Mycobacterium marinum MB2	Not Available	Generic	NCBI	Generic.1.0	2013-12-19 13:16:15	Contig	Not Available	454	4027528	65.5	32.5x	6134390	GCF_000419335.1	Mycobacterium marinum MB2	1288036	6.13439	cd05931	FAAL	1	#FFFFFF
ETW23611.1	GCA_000521195.1	Mycobacterium gastri 'Wayne'	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium	Mycobacterium gastri draft genome sequencing	strain	Wayne	Sample from Mycobacterium gastri 'Wayne'	Not Available	Generic	NCBI	Generic.1.0	2014-01-27 0:00:00	Contig	contaminated,not used as type	Illumina	3972766	66	39.0x	6004793	GCA_000521195.1	Mycobacterium gastri 'Wayne'	1436723	6.004793	cd05931	FAAL	1	#FFFFFF
OOK82694.1	GCA_002003585.1	Mycobacterium kansasii	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium	Mycobacterium kansasii Genome sequencing and assembly	strain	Nov-69	Pathogen: clinical or host-associated sample from Mycobacterium kansasii	Not Available	Pathogen.cl	Institute for Genome Sciences, University of Maryland, Baltimore	Pathogen.cl.1.0	2017-02-18 0:00:00	Contig	many frameshifted proteins	PacBio RS II	4496341	66	10.6x	6801699	GCA_002003585.1	Mycobacterium kansasii	1768	6.801699	cd05931	FAAL	1	#FFFFFF
KEP43013.1	GCA_000715375.1	Mycobacterium kansasii	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium	Mycobacterium kansasii SMC1 Genome sequencing	strain	SMC1	Microbe sample from Mycobacterium kansasii	Not Available	Microbe, viral or environmental	ChunLab Inc.	Microbe.1.0	2014-06-29 6:51:09	Contig	Not Available	Illumina HiSeq	4347327	66	347.4x	6572554	GCA_000715375.1	Mycobacterium kansasii	1768	6.572554	cd05931	FAAL	1	#FFFFFF
AKN18421.1	GCA_000340435.3	Mycobacterium haemophilum DSM 44634	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	-1	-1	Not Available	-1	Not Available	Not Available	-1	Not Available	cd05931	FAAL	1	#FFFFFF
KJX75847.1	GCA_000975265.2	Mycobacterium lepromatosis	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium	Mycobacterium lepromatosis strain:FJ924 Genome sequencing	strain	FJ924	Pathogen: clinical or host-associated sample from Mycobacterium lepromatosis	Not Available	Pathogen.cl	The University of Texas MD Anderson Cancer Center	Pathogen.cl.1.0	2015-04-13 0:00:00	Complete Genome	Not Available	HiSeq 2000	1894016	58	500.0x	3271694	GCA_000975265.2	Mycobacterium lepromatosis	480418	3.271694	cd05931	FAAL	1	#FFFFFF
WP_207801624.1	GCF_003408705.1	Mycobacterium uberis	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium	Mycobacterium uberis strain:Jura Genome sequencing and assembly	strain	Jura	Mycobacterium uberis, the newly discovered causative agent of bovine nodular thelitis	Not Available	Pathogen.cl	Ecole Polytechnique Federale de Lausanne	Pathogen.cl.1.0	2018-08-22 0:37:53	Contig	Not Available	Illumina HiSeq	1795142	57.5	26.0x	3122721	GCF_003408705.1	Mycobacterium uberis	2162698	3.122721	cd05931	FAAL	1	#FFFFFF
OSC40470.1	GCA_002104675.1	Mycobacterium decipiens	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium	Reference genomes of nontuberculos Mycobacterium species Genome sequencing and assembly	isolation_source	not applicable	Microbe sample from Mycobacterium decipiens	Not Available	Microbe, viral or environmental	San Raffaele Scientific Institute	Microbe.1.0	2017-04-07 0:00:00	Contig	Not Available	Illumina	3423921	65.5	44.9x	5225940	GCA_002104675.1	Mycobacterium decipiens	1430326	5.22594	cd05931	FAAL	1	#FFFFFF
WP_031738121.1	GCF_000656655.1	Mycobacterium tuberculosis	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex	TB-ARC - Romania	host	Homo sapiens	Sample from Mycobacterium tuberculosis 2233BH	Not Available	Generic	Broad Institute	Generic.1.0	2014-01-03 0:00:00	Scaffold	Not Available	Illumina	2897046	65.5	82.0x	4416049	GCF_000656655.1	Mycobacterium tuberculosis 2233BH	1438862	4.416049	cd05931	FAAL	1	#FFFFFF
KCR13483.1	GCA_000679455.1	Mycobacterium tuberculosis BTB12-094	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex	TB Sweden	strain	BTB12-094	Generic sample from Mycobacterium tuberculosis BTB12-094	Not Available	Generic	Broad Institute	Generic.1.0	2013-11-20 9:55:48	Scaffold	Not Available	Illumina	2883763	65.5	128.0x	4419319	GCA_000679455.1	Mycobacterium tuberculosis BTB12-094	1423556	4.419319	cd05931	FAAL	1	#FFFFFF
CFD54112.1	GCA_001394355.1	Mycobacterium tuberculosis	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex	Mycobacterium tuberculosis pilot	ArrayExpress-Species	Mycobacterium tuberculosis	Mycobacterium tuberculosis; Mycobacterium tuberculosis	SRA	Generic	EBI	Generic.1.0	2011-09-27 0:00:00	Scaffold	RefSeq annotation failed,contaminated,fragmented assembly,genome length too large	Not Available	3136194	61.5	100.0x	5107721	GCA_001394355.1	Mycobacterium tuberculosis	1773	5.107721	cd05931	FAAL	1	#FFFFFF
KAK98932.1	GCA_000673555.1	Mycobacterium tuberculosis SK-B	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex	TB-ARC - CDRC Alland	strain	KT-0003	Generic sample from Mycobacterium tuberculosis KT-0003	Not Available	Generic	Broad Institute	Generic.1.0	2013-09-20 11:35:06	Scaffold	Not Available	Illumina	2876481	65.5	132.0x	4423697	GCA_000673555.1	Mycobacterium tuberculosis KT-0003	1400872	4.423697	cd05931	FAAL	1	#FFFFFF
KAU85458.1	GCA_000677755.1	Mycobacterium tuberculosis TKK_05MA_0037	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex	TB Sweden	strain	BTB07-123	Generic sample from Mycobacterium tuberculosis BTB07-123	Not Available	Generic	Broad Institute	Generic.1.0	2013-11-20 9:55:40	Scaffold	Not Available	Illumina	2865128	65.5	118.0x	4373386	GCA_000677755.1	Mycobacterium tuberculosis BTB07-123	1423459	4.373386	cd05931	FAAL	1	#FFFFFF
CKL87876.1	GCA_001397935.1	Mycobacterium tuberculosis	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex	Mycobacterium tuberculosis pilot	ENA-CHECKLIST	ERC000011	Mycobacterium tuberculosis; Mycobacterium tuberculosis	SRA	Generic	EBI	Generic.1.0	2011-07-11 0:00:00	Scaffold	annotation fails completeness check	Not Available	2802421	65.5	100.0x	4289884	GCA_001397935.1	Mycobacterium tuberculosis	1773	4.289884	cd05931	FAAL	1	#FFFFFF
CKM30212.1	GCA_001396575.1	Mycobacterium tuberculosis	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex	Mycobacterium tuberculosis pilot	ENA-CHECKLIST	ERC000011	Mycobacterium tuberculosis; Mycobacterium tuberculosis	SRA	Generic	EBI	Generic.1.0	2011-07-11 0:00:00	Scaffold	Not Available	Not Available	2800491	65.5	100.0x	4288288	GCA_001396575.1	Mycobacterium tuberculosis	1773	4.288288	cd05931	FAAL	1	#FFFFFF
EFD74650.1	GCA_000155285.1	Mycobacterium tuberculosis GM 1503	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex	Strain used for comparative genome analysis.	strain	GM 1503	Sample from Mycobacterium tuberculosis GM 1503	Not Available	Generic	NCBI	Generic.1.0	2014-01-23 10:15:03	Scaffold	many frameshifted proteins	Not Available	2786702	65.5	Not Available	4356653	GCA_000155285.1	Mycobacterium tuberculosis GM 1503	537209	4.356653	cd05931	FAAL	1	#FFFFFF
WP_199558500.1	GCF_000709635.1	Mycobacterium tuberculosis	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex	Mycobacterium tuberculosis Mtb526 Genome sequencing and assembly	geo_loc_name	China	Sample from Mycobacterium tuberculosis Mtb526	GenBank	Generic	Institute Of Microbiology Chinese Academy of Sciences, CAS Key Laboratory of Pathogenic Microbiology & Immunology	Generic.1.0	2014-06-17 0:00:00	Scaffold	Not Available	Illumina GAIIx	2738051	65	462.0x	4204858	GCF_000709635.1	Mycobacterium tuberculosis Mtb526	1355019	4.204858	cd05931	FAAL	1	#FFFFFF
CLY71050.1	GCA_001390395.1	Mycobacterium tuberculosis	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex	Discovery of sequence diversity in Mycobacterium tuberculosis (Russia collection)	ArrayExpress-Species	Mycobacterium tuberculosis	Mycobacterium tuberculosis; Mycobacterium tuberculosis	SRA	Generic	EBI	Generic.1.0	2013-02-18 0:00:00	Scaffold	Not Available	Not Available	2855379	65.5	100.0x	4353719	GCA_001390395.1	Mycobacterium tuberculosis	1773	4.353719	cd05931	FAAL	1	#FFFFFF
CKZ45006.1	GCA_001391395.1	Mycobacterium tuberculosis	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex	Mycobacterium tuberculosis pilot	ArrayExpress-Species	Mycobacterium tuberculosis	Mycobacterium tuberculosis; Mycobacterium tuberculosis	SRA	Generic	EBI	Generic.1.0	2012-01-31 0:00:00	Scaffold	Not Available	Not Available	2834392	65.5	100.0x	4328877	GCA_001391395.1	Mycobacterium tuberculosis	1773	4.328877	cd05931	FAAL	1	#FFFFFF
WP_193697953.1	GCF_001397495.1	Mycobacterium tuberculosis	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex	Mycobacterium tuberculosis pilot	ENA-CHECKLIST	ERC000011	Mycobacterium tuberculosis; Mycobacterium tuberculosis	SRA	Generic	EBI	Generic.1.0	2011-08-03 0:00:00	Scaffold	Not Available	Not Available	2787770	65.5	100.0x	4271174	GCF_001397495.1	Mycobacterium tuberculosis	1773	4.271174	cd05931	FAAL	1	#FFFFFF
KAO55236.1	GCA_000706385.1	Mycobacterium tuberculosis MD19043	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex	TB-ARC - Moldova	strain	MD17901	Sample from Mycobacterium tuberculosis MD17901	Not Available	Generic	Broad Institute	Generic.1.0	2014-01-14 0:00:00	Scaffold	Not Available	Illumina	2874717	65.5	86.0x	4383689	GCA_000706385.1	Mycobacterium tuberculosis MD17901	1447482	4.383689	cd05931	FAAL	1	#FFFFFF
KBJ22842.1	GCA_000667765.1	Mycobacterium tuberculosis MAL020211	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex	TB-ARC - Mali	strain	MAL020211	Generic sample from Mycobacterium tuberculosis MAL020211	Not Available	Generic	Broad Institute	Generic.1.0	2013-07-11 0:00:00	Scaffold	Not Available	Illumina	2889780	65.5	125.0x	4412810	GCA_000667765.1	Mycobacterium tuberculosis MAL020211	1354117	4.41281	cd05931	FAAL	1	#FFFFFF
KBA73590.1	GCA_001103985.1	Mycobacterium tuberculosis M1615	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex	Relapse and Reinfection in Tuberculosis	ArrayExpress-Species	Mycobacterium tuberculosis	Mycobacterium tuberculosis; Mycobacterium tuberculosis	SRA	Generic	EBI	Generic.1.0	2012-09-19 0:00:00	Scaffold	Not Available	Not Available	2864431	65.5	100.0x	4366567	GCA_001103985.1	Mycobacterium tuberculosis	1773	4.366567	cd05931	FAAL	1	#FFFFFF
CEJ39025.1	GCA_000947895.1	Mycobacterium tuberculosis variant bovis	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex	Characterization of Mycobacterium bovis MB3 genome sequence	ENA first public	3/2/2015	Characterization of Mycobacterium bovis MB3 genome sequence	SRA	Generic	EBI	Generic.1.0	2015-03-02 0:00:00	Scaffold	Not Available	Not Available	2787389	65.5	457.0x	4259788	GCA_000947895.1	Mycobacterium tuberculosis variant bovis	1765	4.259788	cd05931	FAAL	1	#FFFFFF
KAN51471.1	GCA_000649475.1	Mycobacterium tuberculosis 2089HD	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex	TB-ARC - Romania	host	Homo sapiens	Sample from Mycobacterium tuberculosis 2089HD	Not Available	Generic	Broad Institute	Generic.1.0	2014-01-03 0:00:00	Scaffold	Not Available	Illumina	2886654	65.5	76.0x	4401032	GCA_000649475.1	Mycobacterium tuberculosis 2089HD	1438845	4.401032	cd05931	FAAL	1	#FFFFFF
MBV8861753.1	GCA_019240645.1	Mycobacterium sp.	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium	Metagenome-assembled genomes from V. epidendroides and B. macrantha-associated communities	isolate	CP_BM_RX_R8_1	MIMAG Metagenome-assembled Genome sample from Mycobacterium sp.	Not Available	MIMAG.plant-associated	The Genomics for Climate Change Research Center	MIMAG.plant-associated.6.0	2021-07-04 0:00:00	Contig	derived from metagenome,fragmented assembly	Illumina HiSeq	1936046	65	7.1x	2984622	GCA_019240645.1	Mycobacterium sp.	1785	2.984622	cd05931	FAAL	1	#FFFFFF
AGZ50300.1	GCA_002003625.1	Mycobacterium kansasii ATCC 12478	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium	Mycobacterium kansasii Genome sequencing and assembly	strain	1-Nov	Pathogen: clinical or host-associated sample from Mycobacterium kansasii	Not Available	Pathogen.cl	Institute for Genome Sciences, University of Maryland, Baltimore	Pathogen.cl.1.0	2017-02-18 0:00:00	Contig	many frameshifted proteins	PacBio RS II	4381087	66	11.1x	6629039	GCA_002003625.1	Mycobacterium kansasii	1768	6.629039	cd05931	FAAL	1	#FFFFFF
KZS64924.1	GCA_001632915.1	Mycobacterium kansasii	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium	Mycobacterium persicum Genome sequencing and assembly	collection_date	unknown	Mycobacterium kansasii 1010001468	Not Available	Microbe, viral or environmental	University of Lodz	Microbe.1.0	2016-04-02 6:44:57	Contig	unverified source organism	Illumina NextSeq 500	4066371	66	24.1x	6141835	GCA_001632915.1	Mycobacterium kansasii	1768	6.141835	cd05931	FAAL	1	#FFFFFF
WP_099288258.1	GCF_002705835.1	Mycobacterium persicum	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium	Mycobacterium kansasii Genome sequencing and assembly	strain	H48	Pathogen: clinical or host-associated sample from Mycobacterium kansasii	Not Available	Microbe, viral or environmental	University of Lodz	Microbe.1.0	2017-10-26 0:00:00	Scaffold	Not Available	Illumina NextSeq 500	4111834	66	29.0x	6217645	GCF_002705835.1	Mycobacterium persicum	1487726	6.217645	cd05931	FAAL	1	#FFFFFF
WP_077076929.1	GCF_900157365.1	Mycobacterium numidiamassiliense	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium	Mycobacterium numidiamassiliense genome	ENA first public	1/24/2017	Mycobacterium numidiamassiliense genome	SRA	Generic	EBI	Generic.1.0	2017-01-24 0:00:00	Contig	Not Available	Not Available	4115064	66	271.0x	6248949	GCF_900157365.1	Mycobacterium numidiamassiliense	1841861	6.248949	cd05931	FAAL	1	#FFFFFF
WP_083074590.1	GCF_002086215.1	Mycobacterium heidelbergense	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium simiae complex	Reference genomes of nontuberculos Mycobacterium species Genome sequencing and assembly	sample_type	missing	Microbe sample from Mycobacterium heidelbergense	Not Available	Microbe, viral or environmental	San Raffaele Scientific Institute	Microbe.1.0	2016-11-28 0:00:00	Contig	Not Available	Illumina	3397642	68	53.4x	4999105	GCF_002086215.1	Mycobacterium heidelbergense	53376	4.999105	cd05931	FAAL	1	#FFFFFF
WP_096438589.1	GCF_002983495.1	Mycobacterium shigaense	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium simiae complex	Mycobacterium shigaense strain:UN-152 Genome sequencing and assembly	strain	UN-152	Pathogen: clinical or host-associated sample from Mycobacterium shigaense	Not Available	Pathogen.cl	national institute of infectious diseases	Pathogen.cl.1.0	2018-02-27 0:00:00	Scaffold	Not Available	Illumina MiSeq	3497494	67.5	53.0x	5198926	GCF_002983495.1	Mycobacterium shigaense	722731	5.198926	cd05931	FAAL	1	#FFFFFF
WP_268131215.1	GCF_026723865.1	Mycobacterium sp. Aquia_216	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium	Genome sequences of Mycobacteium spp that infect the Northern snakehead	strain	Aquia_216	216A	Not Available	MIGS.ba,MIGS/MIMS/MIMARKS.host-associated	USGS	MIGS.ba.host-associated.6.0	2022-10-28 0:00:00	Complete Genome	Not Available	PacBio Sequel	4057944	65.5	129.0x	6179084	GCF_026723865.1	Mycobacterium sp. Aquia_216	2991729	6.179084	cd05931	FAAL	1	#FFFFFF
